Row,Primary Type,Arrest,District,Year,Latitude,Longitude,min_distance2police,Values,date_column
1160939,BATTERY,False,18.0,2011,41.896888585999996,-87.628203192,0.01846341111854891,1,2011-09-23 21:35:00
1160953,THEFT,False,19.0,2011,41.933796108,-87.64454821700001,0.015084317250708131,1,2011-09-30 13:00:00
1160958,BATTERY,False,11.0,2011,41.88024803,-87.745269129,0.023000349953765983,1,2011-09-25 08:45:00
1160959,THEFT,False,7.0,2011,41.766213682,-87.64566187,0.0312033853741382,1,2011-10-03 05:00:00
1160962,THEFT,False,20.0,2011,41.98912978,-87.69084363,0.009733810036023435,1,2011-10-04 01:00:00
1160966,BATTERY,True,3.0,2011,41.758626266,-87.601335891,0.014316038237397558,1,2011-10-05 01:45:00
1160968,THEFT,False,22.0,2011,41.70312164,-87.658107878,0.013096171794259603,1,2011-10-04 21:00:00
1160969,BATTERY,True,18.0,2011,41.891694584,-87.626108089,0.017932355253072973,1,2011-10-05 20:07:00
1160974,BATTERY,False,19.0,2011,41.943867792,-87.653827678,0.023751532970559014,1,2011-10-06 19:52:00
1160978,BATTERY,True,19.0,2011,41.946217055,-87.65572154200001,0.018365994252995996,1,2011-10-09 01:00:00
1160983,BATTERY,False,3.0,2011,41.76587359,-87.576294705,0.007998076560243214,1,2011-10-07 13:30:00
1160984,BATTERY,False,4.0,2011,41.753567661999995,-87.564645811,0.0066509078369760034,1,2011-10-10 22:30:00
1160987,BATTERY,False,22.0,2011,41.685042484,-87.645238242,0.02523196151431524,1,2011-10-13 22:00:00
1160988,THEFT,False,10.0,2011,41.84552887,-87.705069084,0.019274712171291338,1,2011-10-02 14:00:00
1160991,ASSAULT,False,12.0,2011,41.900208545,-87.69569554899999,0.01984966340948331,1,2011-10-14 16:47:00
1160993,THEFT,False,11.0,2011,41.880751096,-87.723855981,0.006548576034003994,1,2011-10-12 12:00:00
1160994,THEFT,False,24.0,2011,41.991951349000004,-87.675913592,0.0017088789574312296,1,2011-10-16 19:30:00
1160996,BATTERY,False,10.0,2011,41.852162259,-87.67670466700001,0.014175075403288866,1,2011-08-01 14:00:00
1161001,BATTERY,False,24.0,2011,42.002478396,-87.66929687,0.02308017669235592,1,2011-10-20 15:00:00
1161002,BATTERY,False,12.0,2011,41.892895925,-87.64588766799999,0.01183702491498668,1,2011-10-21 06:30:00
1161005,BATTERY,True,15.0,2011,41.897086965999996,-87.74585295799999,0.021965735760144708,1,2011-10-21 11:33:00
1161006,THEFT,False,10.0,2011,41.856113593,-87.7065953,0.038478523226600246,1,2011-10-21 10:00:00
1161007,BATTERY,False,14.0,2011,41.903300131,-87.67029247,0.02617255597867171,1,2011-10-22 12:30:00
1161008,NARCOTICS,True,15.0,2011,41.893498663,-87.76351192,0.015001852557396852,1,2011-10-22 21:03:00
1161010,THEFT,False,19.0,2011,41.926535391,-87.658494835,0.001162102592959463,1,2011-10-14 19:00:00
1161012,BATTERY,False,9.0,2011,41.852868298000004,-87.63091491,0.01968049942618897,1,2011-10-23 03:02:00
1161014,THEFT,False,25.0,2011,41.93369861,-87.72029073899999,0.015054379872373456,1,2011-10-25 18:00:00
1161017,ASSAULT,True,9.0,2011,41.801358629,-87.66169868899999,0.009810902310052569,1,2011-10-27 00:50:00
1161026,BATTERY,True,5.0,2011,41.698889033,-87.62915834100001,0.004528403760699321,1,2011-11-01 00:12:00
1161037,ROBBERY,True,4.0,2011,41.73723014,-87.56331280799999,0.008431504953235767,1,2011-11-04 07:45:00
1161043,THEFT,False,3.0,2011,41.769881308,-87.56899299,0.02205874624764136,1,2011-11-08 09:30:00
1161047,THEFT,False,15.0,2011,41.89117267,-87.75823284100001,0.02501846451002205,1,2011-11-07 09:00:00
1161048,THEFT,False,5.0,2011,41.717620456999995,-87.59827045,0.01851841709080548,1,2011-11-09 03:00:00
1161056,ASSAULT,False,22.0,2011,41.730373563,-87.63981256,0.015656598811946816,1,2011-11-15 02:30:00
1161061,BATTERY,False,12.0,2011,41.885393253000004,-87.663547848,0.028134713948347632,1,2011-11-05 04:30:00
1161063,ASSAULT,False,7.0,2011,41.76287055,-87.64556561399999,0.13909571639512008,1,2011-11-16 20:42:00
1161065,THEFT,False,2.0,2011,41.814733927,-87.622428659,0.01726523784363638,1,2011-11-18 08:00:00
1161066,THEFT,False,12.0,2011,41.89010736,-87.703218475,0.005650781502346032,1,2011-11-17 19:15:00
1161067,BATTERY,False,10.0,2011,41.863582538,-87.73366317,0.016168030544296517,1,2011-11-19 10:25:00
1161073,THEFT,False,6.0,2011,41.74317925,-87.600148257,0.010557085541417535,1,2011-11-21 18:20:00
1161076,THEFT,True,8.0,2011,41.80169033,-87.703792065,0.010124291041849628,1,2011-11-22 10:40:00
1161080,THEFT,False,5.0,2011,41.647924938,-87.61645385799999,0.010296082532043515,1,2011-11-21 22:00:00
1161081,BATTERY,False,19.0,2011,41.947501366,-87.66887154,0.016492290601505526,1,2011-11-24 03:00:00
1161083,ARSON,False,4.0,2011,41.649491211,-87.53989848,0.018625532572860676,1,2011-11-26 03:15:00
1161090,THEFT,False,7.0,2011,41.786578440999996,-87.677946336,0.014490378504461722,1,2011-08-01 00:00:00
1161097,BATTERY,False,4.0,2011,41.706396411,-87.53971556,0.0057690147621537145,1,2011-12-02 20:50:00
1161101,BATTERY,False,12.0,2011,41.878429487,-87.67657169799999,0.021137163444805113,1,2011-12-04 22:00:00
1161120,THEFT,True,4.0,2011,41.742787091,-87.54786758,0.009722805905671312,1,2011-12-13 14:15:00
1161122,ASSAULT,False,18.0,2011,41.894017921,-87.632205157,0.003241939445364886,1,2011-12-14 11:20:00
1161127,THEFT,False,12.0,2011,41.900768799999994,-87.682080486,0.014970192232432525,1,2011-12-02 07:00:00
1161154,ASSAULT,False,16.0,2011,41.948034278,-87.8071017,0.004285296636755606,1,2011-12-20 12:50:00
1161155,BATTERY,False,24.0,2011,42.003498154,-87.67339223,0.011516819671758946,1,2011-12-20 12:30:00
1161165,BATTERY,False,6.0,2011,41.749822122,-87.66948485700001,0.01566048542574913,1,2011-12-21 12:15:00
1161170,THEFT,False,14.0,2011,41.91713541,-87.68791410200001,0.021506761784013367,1,2011-12-22 19:00:00
1161171,ASSAULT,True,15.0,2011,41.891958845,-87.76345215,0.03609700573269815,1,2011-12-23 00:05:00
1161172,BATTERY,False,4.0,2011,41.725800408000005,-87.598136921,0.027849623596477316,1,2011-12-23 19:17:00
1161193,BATTERY,False,7.0,2011,41.76831036,-87.649345507,0.019686045408739493,1,2011-12-31 01:53:00
1161195,THEFT,False,2.0,2011,41.816546363,-87.622625054,0.022563895883122898,1,2011-12-31 15:45:00
