crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
OVER $500,False,2018-12-06 08:30:00,41.883823074,-87.63852649,False,1.0,6,2018,12,8,6,3,49,4
OVER $500,False,2018-12-06 22:00:00,41.91496988,-87.67146497600002,False,14.0,6,2018,12,22,6,3,49,4
OVER $500,False,2018-12-06 15:30:00,41.936688014,-87.71534818100002,False,14.0,6,2018,12,15,6,3,49,4
RETAIL THEFT,False,2018-12-06 19:30:00,41.748060338,-87.74130270200001,False,8.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 18:00:00,41.948190165999996,-87.759448371,False,16.0,6,2018,12,18,6,3,49,4
OVER $500,False,2018-12-06 23:30:00,41.92735143,-87.704597631,False,14.0,6,2018,12,23,6,3,49,4
OVER $500,False,2018-12-06 22:00:00,41.948676628,-87.67951613,False,19.0,6,2018,12,22,6,3,49,4
OVER $500,False,2018-12-06 19:45:00,41.834496885,-87.665660315,False,9.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 17:07:00,41.923169552,-87.732855662,False,25.0,6,2018,12,17,6,3,49,4
OVER $500,False,2018-12-06 20:00:00,41.942520298000005,-87.80811742200001,False,16.0,6,2018,12,20,6,3,49,4
OVER $500,False,2018-12-06 09:30:00,41.867599979,-87.68029885899998,False,12.0,6,2018,12,9,6,3,49,4
OVER $500,False,2018-12-06 15:30:00,41.767843612,-87.68577267299999,False,8.0,6,2018,12,15,6,3,49,4
OVER $500,False,2018-12-06 21:00:00,41.971623065,-87.752368784,False,16.0,6,2018,12,21,6,3,49,4
OVER $500,False,2018-12-03 20:00:00,41.859963137,-87.643292754,False,12.0,6,2018,12,20,3,0,49,4
OVER $500,False,2018-11-03 08:00:00,41.873459421,-87.723301068,False,11.0,6,2018,11,8,3,5,44,4
OVER $500,True,2018-10-24 15:15:00,41.792661286,-87.732949519,False,8.0,6,2018,10,15,24,2,43,4
RETAIL THEFT,False,2018-12-05 14:40:00,41.928076536,-87.78560618600002,False,25.0,6,2018,12,14,5,2,49,4
OVER $500,False,2018-12-05 12:00:00,41.870028132,-87.708823855,False,11.0,6,2018,12,12,5,2,49,4
OVER $500,False,2018-12-05 11:00:00,41.895003278000004,-87.62152816,False,18.0,6,2018,12,11,5,2,49,4
OVER $500,False,2018-12-05 18:00:00,41.939493089,-87.639532345,False,19.0,6,2018,12,18,5,2,49,4
OVER $500,False,2018-12-06 14:00:00,41.853553022,-87.633392393,False,9.0,6,2018,12,14,6,3,49,4
RETAIL THEFT,False,2018-12-06 19:10:00,41.91244802,-87.653165399,False,18.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 17:00:00,41.932185741,-87.653841433,False,19.0,6,2018,12,17,6,3,49,4
OVER $500,False,2018-12-06 13:27:00,41.936492608,-87.644827929,False,19.0,6,2018,12,13,6,3,49,4
OVER $500,False,2018-12-06 17:00:00,41.922856023,-87.63881235299999,False,18.0,6,2018,12,17,6,3,49,4
RETAIL THEFT,True,2018-12-06 14:36:00,41.736148121,-87.62907024299999,False,6.0,6,2018,12,14,6,3,49,4
RETAIL THEFT,True,2018-12-06 14:40:00,41.883500186999996,-87.627876698,False,1.0,6,2018,12,14,6,3,49,4
RETAIL THEFT,True,2018-12-06 15:30:00,41.905529073000004,-87.66755465600002,False,14.0,6,2018,12,15,6,3,49,4
OVER $500,False,2018-12-06 13:00:00,41.901081298,-87.752071974,False,15.0,6,2018,12,13,6,3,49,4
RETAIL THEFT,True,2018-12-06 14:15:00,41.754592961,-87.74152853700001,False,8.0,6,2018,12,14,6,3,49,4
OVER $500,False,2018-12-06 12:00:00,41.954643875,-87.725196535,False,17.0,6,2018,12,12,6,3,49,4
OVER $500,False,2018-12-06 16:15:00,41.970974234,-87.70976935700001,False,17.0,6,2018,12,16,6,3,49,4
OVER $500,False,2018-12-06 16:00:00,41.961125959,-87.713442858,False,17.0,6,2018,12,16,6,3,49,4
RETAIL THEFT,True,2018-12-06 13:00:00,41.881183104,-87.68498211,False,12.0,6,2018,12,13,6,3,49,4
RETAIL THEFT,False,2018-12-06 15:00:00,41.884493832,-87.627021129,False,1.0,6,2018,12,15,6,3,49,4
RETAIL THEFT,True,2018-12-06 10:22:00,41.78672869,-87.665910509,False,7.0,6,2018,12,10,6,3,49,4
OVER $500,False,2018-12-06 13:30:00,41.931810386,-87.65766379799999,False,19.0,6,2018,12,13,6,3,49,4
RETAIL THEFT,True,2018-12-06 14:23:00,41.928235818000005,-87.682084152,False,14.0,6,2018,12,14,6,3,49,4
OVER $500,False,2018-12-06 06:45:00,41.897659761,-87.618887091,False,18.0,6,2018,12,6,6,3,49,4
OVER $500,False,2018-12-06 11:30:00,41.769288733,-87.68947889100002,False,8.0,6,2018,12,11,6,3,49,4
RETAIL THEFT,False,2018-12-06 10:23:00,41.910914175,-87.648578343,False,18.0,6,2018,12,10,6,3,49,4
OVER $500,False,2018-12-06 12:45:00,41.877467769,-87.67827798100002,True,12.0,6,2018,12,12,6,3,49,4
OVER $500,False,2018-12-05 08:50:00,41.915311598,-87.68664654,False,14.0,6,2018,12,8,5,2,49,4
OVER $500,False,2018-12-05 08:00:00,41.946724511,-87.691501175,False,19.0,6,2018,12,8,5,2,49,4
RETAIL THEFT,False,2018-12-05 17:44:00,41.722391165,-87.58147209799999,False,4.0,6,2018,12,17,5,2,49,4
OVER $500,False,2018-12-05 07:00:00,41.753561435,-87.551925162,False,4.0,6,2018,12,7,5,2,49,4
RETAIL THEFT,True,2018-12-05 16:05:00,41.680418425999996,-87.66243794799999,False,22.0,6,2018,12,16,5,2,49,4
RETAIL THEFT,False,2018-12-05 18:28:00,42.005849323,-87.66099439799999,False,24.0,6,2018,12,18,5,2,49,4
OVER $500,False,2018-12-05 00:53:00,42.007859841999995,-87.688079591,False,24.0,6,2018,12,0,5,2,49,4
OVER $500,False,2018-12-05 15:14:00,41.747598234,-87.69744981299999,False,8.0,6,2018,12,15,5,2,49,4
OVER $500,False,2018-12-05 12:58:00,41.777975809000004,-87.600400971,False,3.0,6,2018,12,12,5,2,49,4
RETAIL THEFT,False,2018-12-05 17:33:00,41.935432921,-87.668504341,False,19.0,6,2018,12,17,5,2,49,4
OVER $500,False,2018-12-05 11:45:00,41.895372185,-87.725362479,False,11.0,6,2018,12,11,5,2,49,4
RETAIL THEFT,True,2018-12-05 17:15:00,41.963070794000004,-87.655984213,False,19.0,6,2018,12,17,5,2,49,4
OVER $500,False,2018-12-05 08:30:00,41.917152303,-87.63634634299999,False,18.0,6,2018,12,8,5,2,49,4
RETAIL THEFT,True,2018-12-05 16:30:00,41.883500186999996,-87.627876698,False,1.0,6,2018,12,16,5,2,49,4
OVER $500,False,2018-12-05 15:55:00,41.890105335,-87.61763810299999,False,18.0,6,2018,12,15,5,2,49,4
OVER $500,False,2018-12-05 16:15:00,41.724531764,-87.62066548899998,False,6.0,6,2018,12,16,5,2,49,4
OVER $500,False,2018-12-05 11:00:00,41.944095146,-87.640897619,False,19.0,6,2018,12,11,5,2,49,4
RETAIL THEFT,True,2018-12-05 15:00:00,41.741052392,-87.634043876,False,6.0,6,2018,12,15,5,2,49,4
OVER $500,False,2018-12-05 07:00:00,41.887468346999995,-87.646434304,False,12.0,6,2018,12,7,5,2,49,4
OVER $500,False,2018-12-05 15:00:00,41.913190415,-87.68181094,False,14.0,6,2018,12,15,5,2,49,4
OVER $500,False,2018-12-05 13:30:00,41.884333364,-87.619266937,False,1.0,6,2018,12,13,5,2,49,4
OVER $500,False,2018-12-05 10:30:00,41.882191965,-87.633836392,False,1.0,6,2018,12,10,5,2,49,4
RETAIL THEFT,False,2018-12-05 14:30:00,41.905529073000004,-87.66755465600002,False,14.0,6,2018,12,14,5,2,49,4
RETAIL THEFT,True,2018-12-05 13:13:00,41.915729613,-87.746056778,False,25.0,6,2018,12,13,5,2,49,4
OVER $500,False,2018-11-28 13:30:00,41.87766908,-87.629284766,False,1.0,6,2018,11,13,28,2,48,4
OVER $500,False,2018-11-14 14:45:00,41.973877889,-87.89137189200001,False,16.0,6,2018,11,14,14,2,46,4
RETAIL THEFT,False,2018-12-05 09:46:00,41.939905846,-87.654410045,False,19.0,6,2018,12,9,5,2,49,4
RETAIL THEFT,True,2018-12-05 07:50:00,41.757614433,-87.58611526600002,False,4.0,6,2018,12,7,5,2,49,4
OVER $500,False,2018-12-05 08:00:00,41.987492453,-87.71755690100002,False,17.0,6,2018,12,8,5,2,49,4
RETAIL THEFT,True,2018-12-05 07:36:00,42.019399236999995,-87.675049485,False,24.0,6,2018,12,7,5,2,49,4
