crime,subcrime,year,arrest,total
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2011,True,369
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2012,False,425
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2012,True,254
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2013,False,419
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2013,True,285
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2014,False,402
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2014,True,295
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2015,False,349
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2015,True,220
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2016,False,356
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2016,True,198
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2017,False,369
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2017,True,154
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2018,False,489
ASSAULT,PRO EMP HANDS NO/MIN INJURY,2018,True,203
ASSAULT,SIMPLE,2008,False,29438
ASSAULT,SIMPLE,2008,True,5307
ASSAULT,SIMPLE,2009,False,24612
ASSAULT,SIMPLE,2009,True,5654
ASSAULT,SIMPLE,2010,False,23129
ASSAULT,SIMPLE,2010,True,4919
ASSAULT,SIMPLE,2011,False,11293
ASSAULT,SIMPLE,2011,True,2619
ASSAULT,SIMPLE,2012,False,11330
ASSAULT,SIMPLE,2012,True,2493
ASSAULT,SIMPLE,2013,False,10106
ASSAULT,SIMPLE,2013,True,2392
ASSAULT,SIMPLE,2014,False,8881
ASSAULT,SIMPLE,2014,True,2358
ASSAULT,SIMPLE,2015,False,9406
ASSAULT,SIMPLE,2015,True,2100
ASSAULT,SIMPLE,2016,False,10022
ASSAULT,SIMPLE,2016,True,1696
ASSAULT,SIMPLE,2017,False,10964
ASSAULT,SIMPLE,2017,True,1732
ASSAULT,SIMPLE,2018,False,11046
ASSAULT,SIMPLE,2018,True,1497
BATTERY,AGG PO HANDS ETC SERIOUS INJ,2008,False,10
BATTERY,AGG PO HANDS ETC SERIOUS INJ,2008,True,94
BATTERY,AGG PO HANDS ETC SERIOUS INJ,2009,True,86
BATTERY,AGG PO HANDS ETC SERIOUS INJ,2010,False,12
BATTERY,AGG PO HANDS ETC SERIOUS INJ,2010,True,58
